"Inventory ID","Publisher","Publication","Channel","Category","Ad Product","Colour/Type","Billing Unit","Base Rate (R excl VAT)","Currency","VAT Applicable","Region/Run","Specs / Size","Booking Deadline","Material Deadline","Contact","Source"
"ARENA-0135","Arena Holdings","Sunday Times","Print","Sampling","Sampling","Per Thousand","Per Thousand","1389","ZAR","Excl VAT","National","Subject to approval","","","","Sunday Times 2026 PDF p8"
"ARENA-0136","Arena Holdings","The Herald","Print","Main Body","Main Body","Full Colour","psccm","223","ZAR","Excl VAT","Eastern Cape","","10h00, 2 working days prior","12h00, 2 working days prior","Andre Segadavan | 041 504 7325 | segadavana@theherald.co.za","The Herald 2026 PDF p2-p4"
"ARENA-0137","Arena Holdings","The Herald","Print","Main Body","Main Body","1 Spot Colour","psccm","149","ZAR","Excl VAT","Eastern Cape","","10h00, 2 working days prior","12h00, 2 working days prior","Andre Segadavan | 041 504 7325 | segadavana@theherald.co.za","The Herald 2026 PDF p2-p4"
"ARENA-0138","Arena Holdings","The Herald","Print","Main Body","Main Body","Black & White","psccm","123","ZAR","Excl VAT","Eastern Cape","","10h00, 2 working days prior","12h00, 2 working days prior","Andre Segadavan | 041 504 7325 | segadavana@theherald.co.za","The Herald 2026 PDF p2-p4"
"ARENA-0139","Arena Holdings","The Herald","Print","Company Reports & Financial Notices","Company Reports","Full Colour","psccm","304","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0140","Arena Holdings","The Herald","Print","Company Reports & Financial Notices","Company Reports","1 Spot Colour","psccm","206","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0141","Arena Holdings","The Herald","Print","Company Reports & Financial Notices","Company Reports","Black & White","psccm","165","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0142","Arena Holdings","The Herald","Print","Section Rates","Auctions Display B&W","Auctions Display B&W","psccm","122","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0143","Arena Holdings","The Herald","Print","Section Rates","Employment Display B&W","Employment Display B&W","psccm","126","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0144","Arena Holdings","The Herald","Print","Section Rates","Legal Notices & Tenders B&W","Legal Notices & Tenders B&W","psccm","156","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0145","Arena Holdings","The Herald","Print","Section Rates","Monday Careers National Combo","Monday Careers National Combo","psccm","301","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0146","Arena Holdings","The Herald","Print","Section Rates","Monday Careers Regional Combo","Monday Careers Regional Combo","psccm","248","ZAR","Excl VAT","Eastern Cape","","","","","The Herald 2026 PDF p2-p4"
"ARENA-0147","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","950","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","The Herald 2026 PDF p3"
"ARENA-0148","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1001","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","The Herald 2026 PDF p3"
"ARENA-0149","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1102","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","The Herald 2026 PDF p3"
"ARENA-0150","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1270","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","The Herald 2026 PDF p3"
"ARENA-0151","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A4","Per Thousand","1119","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","The Herald 2026 PDF p3"
"ARENA-0152","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A4","Per Thousand","1186","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","The Herald 2026 PDF p3"
"ARENA-0153","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A4","Per Thousand","1245","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","The Herald 2026 PDF p3"
"ARENA-0154","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A4","Per Thousand","1243","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","The Herald 2026 PDF p3"
"ARENA-0155","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A5","Per Thousand","1344","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","The Herald 2026 PDF p3"
"ARENA-0156","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A5","Per Thousand","1424","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","The Herald 2026 PDF p3"
"ARENA-0157","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A5","Per Thousand","1512","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","The Herald 2026 PDF p3"
"ARENA-0158","Arena Holdings","The Herald","Print","OPI","Outside Printed Insert","A5","Per Thousand","1601","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","The Herald 2026 PDF p3"
"ARENA-0159","Arena Holdings","TimesLive","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","80769","ZAR","Excl VAT","Digital","250,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0160","Arena Holdings","TimesLive","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","40385","ZAR","Excl VAT","Digital","250,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0161","Arena Holdings","Sunday Times","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","6730","ZAR","Excl VAT","Digital","17,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0162","Arena Holdings","Sunday Times","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","3365","ZAR","Excl VAT","Digital","17,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0163","Arena Holdings","ST Lifestyle","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","10769","ZAR","Excl VAT","Digital","28,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0164","Arena Holdings","Business Day","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","33650","ZAR","Excl VAT","Digital","44,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0165","Arena Holdings","Business Day","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","21032","ZAR","Excl VAT","Digital","44,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0166","Arena Holdings","Business Times","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","2775","ZAR","Excl VAT","Digital","5,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0167","Arena Holdings","Business Times","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","1735","ZAR","Excl VAT","Digital","5,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0168","Arena Holdings","Financial Mail","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","31356","ZAR","Excl VAT","Digital","41,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0169","Arena Holdings","Financial Mail","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","17456","ZAR","Excl VAT","Digital","41,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0170","Arena Holdings","Sowetan","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","80769","ZAR","Excl VAT","Digital","250,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0171","Arena Holdings","Sowetan","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","40385","ZAR","Excl VAT","Digital","250,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0172","Arena Holdings","TshisaLive","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","10256","ZAR","Excl VAT","Digital","25,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0173","Arena Holdings","TimesLive Sport","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","5769","ZAR","Excl VAT","Digital","13,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0174","Arena Holdings","TimesLive Sport","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","3606","ZAR","Excl VAT","Digital","13,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0175","Arena Holdings","The Herald","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","7404","ZAR","Excl VAT","Digital","20,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0176","Arena Holdings","The Herald","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","4628","ZAR","Excl VAT","Digital","20,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0177","Arena Holdings","Daily Dispatch","Digital","24 Hour Sponsorship","HPTO Desktop & Mobile","Sponsorship","Fixed","4712","ZAR","Excl VAT","Digital","14,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0178","Arena Holdings","Daily Dispatch","Digital","24 Hour Sponsorship","Section Takeover Desktop & Mobile","Sponsorship","Fixed","2945","ZAR","Excl VAT","Digital","14,000 impressions","","","","Arena Digital 2026 PDFs p9/p8/p13/p7"
"ARENA-0179","Arena Holdings","Arena Network","Digital","Display Rates","Run of Network - All Sizes","Digital CPM","CPM","233","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0180","Arena Holdings","Arena Network","Digital","Display Rates","Run of Network - High Impact","Digital CPM","CPM","290","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0181","Arena Holdings","Arena Network","Digital","Display Rates","Arena Video Display","Digital CPM","CPM","500","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0182","Arena Holdings","Arena Network","Digital","Display Rates","Geo/Section/Viewability/Audience/Premium Layering","Digital CPM","CPM","56","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0183","Arena Holdings","Arena Network","Digital","Display Rates","In-Image Ad Unit","Digital CPM","CPM","389","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0184","Arena Holdings","Arena Network","Digital","Display Rates","Interstitial Ad Unit","Digital CPM","CPM","389","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0185","Arena Holdings","Arena Network","Digital","Display Rates","Newsletter In-Article Ad Unit","Digital CPM","CPM","330","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0186","Arena Holdings","Arena Network","Digital","Display Rates","In-Banner Video","Digital CPM","CPM","400","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs"
"ARENA-0187","Arena Holdings","Arena Network","Digital","Native / Content Package","Standard Native Package","Package","Package","50000","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs p10/p11"
"ARENA-0188","Arena Holdings","Arena Network","Digital","Native / Content Package","Sponsored Content","Package","Package","34000","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs p10/p11"
"ARENA-0189","Arena Holdings","Arena Network","Digital","Native / Content Package","Listical Profiles","Package","Package","150000","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs p10/p11"
"ARENA-0190","Arena Holdings","Arena Network","Digital","Native / Content Package","Premium Native Package","Package","Package","67000","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs p10/p11"
"ARENA-0191","Arena Holdings","Arena Network","Digital","Native / Content Package","Partner Hub Monthly","Package","Monthly","55000","ZAR","Excl VAT","Digital","","","","","Arena Digital 2026 PDFs p10/p11"
